year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats
1.0,0.07035191451391717,0.3828931128766128,0.3333333333333333,0.5,1.0,0.0,0.5726495726495726,0.2093959731543624,0.2624113475177305,0.25
1.0,0.05695158175015381,0.3157876731254556,0.3333333333333333,0.5,1.0,0.5,0.47435897435897445,0.2932885906040268,0.3652482269503546,0.25
0.6000000000000001,0.021440699926180917,0.36841939057734363,1.0,0.5,1.0,1.0,0.329059829059829,0.2929530201342282,0.2765957446808511,0.25
0.8,0.03266347861583273,0.3342087742336164,0.3333333333333333,0.5,1.0,0.0,0.5555555555555556,0.25906040268456376,0.3191489361702128,0.25
0.6000000000000001,0.01675058345886374,0.3157876731254556,1.0,0.5,1.0,0.0,0.26068376068376076,0.22617449664429531,0.3120567375886525,0.25
1.0,0.06867687291844674,0.11841873268087548,1.0,0.5,1.0,0.0,0.43162393162393164,0.19228187919463088,0.28723404255319146,0.25
0.6000000000000001,0.011055442034264316,0.4605248961181477,0.6666666666666666,0.5,1.0,0.0,0.31196581196581197,0.14664429530201342,0.20212765957446807,0.25
0.4,0.002512729897365176,0.013155297777099412,1.0,0.5,1.0,0.5,0.26068376068376076,0.057718120805369116,0.13120567375886524,0.125
0.8,0.05360149855921297,0.23684009694762354,0.3333333333333333,0.5,1.0,0.0,0.5769230769230769,0.2483221476510067,0.23758865248226949,0.25
0.8,0.02847587462715668,0.44473538088258124,0.3333333333333333,0.5,1.0,0.0,0.4273504273504274,0.2600671140939598,0.24113475177304963,0.25
1.0,0.07872712249126926,0.1789452077505467,0.3333333333333333,0.5,1.0,0.5,0.3846153846153846,0.2808724832214765,0.3829787234042553,0.25
0.6000000000000001,0.010385425396076148,0.26315595567356753,1.0,0.5,1.0,0.5,0.31196581196581197,0.12382550335570472,0.2127659574468085,0.25
0.8,0.04187620739092003,0.36841939057734363,0.3333333333333333,0.5,1.0,0.5,0.39743589743589747,0.2093959731543624,0.25886524822695034,0.25
0.6000000000000001,0.02847587462715668,0.2105242382216795,1.0,0.5,1.0,0.5,0.3803418803418802,0.2093959731543624,0.2624113475177305,0.25
0.8,0.02512579143621584,0.23684009694762354,1.0,0.5,1.0,0.5,0.3803418803418802,0.14664429530201342,0.23758865248226949,0.25
1.0,0.06197670653656507,0.10526080331790347,1.0,0.5,1.0,0.0,0.34615384615384615,0.19261744966442954,0.2907801418439716,0.25
1.0,0.1252932788453469,0.1842083794957355,0.3333333333333333,0.5,1.0,0.5,0.6196581196581197,0.2093959731543624,0.3120567375886525,0.5
0.8,0.07872712249126926,0.13947141966163068,0.3333333333333333,0.5,1.0,0.5,0.5555555555555556,0.25906040268456376,0.3191489361702128,0.25
0.6000000000000001,0.02010066664980458,0.2105242382216795,1.0,0.5,1.0,0.5,0.4145299145299145,0.057718120805369116,0.1631205673758865,0.25
1.0,0.1088778712097368,0.26315595567356753,0.3333333333333333,0.5,1.0,0.0,0.5341880341880342,0.25906040268456376,0.3120567375886525,0.25
0.8,0.024120766478933586,0.26315595567356753,0.3333333333333333,0.5,1.0,0.5,0.4700854700854701,0.2808724832214765,0.22695035460992907,0.25
1.0,0.15410399428743812,0.13157666204384746,0.3333333333333333,0.5,1.0,0.0,0.6623931623931625,0.2932885906040268,0.3475177304964539,0.25
1.0,0.0829147264799453,0.10526080331790347,0.3333333333333333,0.5,1.0,0.0,0.7051282051282051,0.2093959731543624,0.2624113475177305,0.25
0.8,0.09547753844597345,0.1894715512409243,0.3333333333333333,0.5,1.0,0.0,0.4914529914529915,0.2093959731543624,0.3120567375886525,0.25
1.0,0.07872712249126926,0.09210287395493147,1.0,0.5,1.0,0.0,0.44017094017094016,0.1929530201342282,0.29432624113475175,0.25
1.0,0.09128993445729741,0.11841873268087548,1.0,0.5,1.0,0.0,0.4871794871794871,0.19228187919463088,0.29432624113475175,0.25
1.0,0.041038686593184825,0.07368177284677065,1.0,0.5,1.0,0.0,0.6282051282051282,0.057718120805369116,0.16666666666666666,0.25
0.8,0.045226290581860874,0.1842083794957355,0.3333333333333333,0.5,1.0,0.0,0.3504273504273504,0.2093959731543624,0.25886524822695034,0.5
0.8,0.031825957818097515,0.3157876731254556,1.0,0.5,1.0,0.0,0.3803418803418802,0.14664429530201342,0.23758865248226949,0.25
1.0,0.03768843589808444,0.06578701522898744,1.0,0.5,1.0,0.0,0.29059829059829057,0.057718120805369116,0.12056737588652482,0.625
1.0,0.10720282961426639,0.1842083794957355,0.3333333333333333,0.5,1.0,0.0,0.6111111111111112,0.2093959731543624,0.3120567375886525,0.25
0.6000000000000001,0.006700333886041224,0.13157666204384746,1.0,0.5,1.0,0.5,0.3803418803418802,0.2093959731543624,0.2624113475177305,0.25
0.8,0.02010066664980458,0.09210287395493147,1.0,0.5,1.0,0.5,0.1709401709401709,0.057718120805369116,0.12411347517730496,0.25
1.0,0.11725307918708891,0.006281595477882836,1.0,0.5,1.0,0.0,0.36752136752136755,0.19228187919463088,0.28723404255319146,0.25
1.0,0.10385274642332556,0.04262905955015671,0.3333333333333333,0.5,1.0,0.0,0.6111111111111112,0.2093959731543624,0.3120567375886525,0.25
1.0,0.05025141536827213,0.02631322714007142,0.0,0.5,1.0,0.5,1.0,0.057718120805369116,0.14184397163120566,0.125
1.0,0.056281565111965644,0.03947115650304343,1.0,0.5,1.0,0.0,0.5940170940170939,0.12550335570469798,0.23758865248226949,0.25
1.0,0.1874373220372995,0.013155297777099412,1.0,0.5,1.0,0.0,0.2991452991452991,0.324496644295302,0.42907801418439717,0.25
1.0,0.02010066664980458,0.11052397506309228,1.0,0.5,1.0,0.0,0.45299145299145305,0.19261744966442954,0.23758865248226949,0.25
0.8,0.0661643105252411,0.1578925207697915,0.3333333333333333,0.5,1.0,0.5,0.16666666666666663,0.5218120805369127,0.48936170212765956,0.5
0.8,0.02010066664980458,0.19999789473130192,1.0,0.5,1.0,0.0,0.26068376068376076,0.057718120805369116,0.13120567375886524,0.125
1.0,0.34673377776653636,0.013155297777099412,1.0,0.5,0.0,0.0,0.2564102564102564,0.24966442953020132,0.5673758865248226,0.25
